Game_Title,Platform,Release_Date,Meta_Score,User_Score
Divinity: Original Sin II - Definitive Edition,PlayStation4,,92,7.9
Galactic Civilizations II: Twilight of the Arnor,PC,,92,8.3
Super Smash Bros. for Wii U,WiiU,,92,8.9
Guitar Hero II,PlayStation2,,92,8.4
Final Fantasy VII,PlayStation,,92,9.1
Rock Band,PlayStation3,,92,8.1
Chrono Trigger,DS,,92,9.1
Bayonetta 2,Switch,,92,8.5
Journey,PlayStation3,,92,8.8
Xenoblade Chronicles,Wii,,92,9.2
Conker's Bad Fur Day,Nintendo64,,92,9.0
Medal of Honor,PlayStation,,92,8.8
PaRappa the Rapper,PlayStation,,92,7.6
Rock Band 2,Xbox360,,92,8.1
Mario Kart 8 Deluxe,Switch,,92,8.6
The ICO & Shadow of the Colossus Collection,PlayStation3,,92,8.7
Rayman Origins,Wii,,92,8.5
Metroid Prime 2: Echoes,GameCube,,92,8.8
Out of the Park Baseball 17,PC,,92,3.3
Metroid Fusion,GameBoyAdvance,,92,9.0
The Witcher 3: Wild Hunt - Blood and Wine,PC,2016-05-30,92,9.3
Final Fantasy VI Advance,GameBoyAdvance,,92,8.7
Rayman Legends,WiiU,,92,8.7
Tiger Woods PGA Tour 2003,PC,,92,5.1
Madden NFL 2005,Xbox,,91,7.4
Super Street Fighter IV,Xbox360,,91,7.7
Pac-Man Championship Edition DX,PlayStation3,,91,7.8
Rock Band 2,PlayStation3,,91,8.0
Microsoft Flight Simulator,PC,,91,7.2
Dark Souls II,Xbox360,,91,7.9
Dishonored,PC,,91,8.4
ESPN NFL Football,PlayStation2,,91,8.5
Medal of Honor: Allied Assault,PC,,91,8.6
Myth: The Fallen Lords,PC,,91,8.5
LittleBigPlanet 2,PlayStation3,,91,8.6
INSIDE,Switch,,91,8.5
Guitar Hero,PlayStation2,,91,8.6
World of Warcraft: Wrath of the Lich King,PC,,91,7.9
Rock Band 3,Wii,,91,6.9
Metroid Prime Trilogy,Wii,,91,9.0
Overwatch,PC,2016-05-23,91,6.5
F1 Challenge '99-'02,PC,,91,7.5
Tony Hawk's Pro Skater 4,GameCube,,91,8.4
Madden NFL 2001,PlayStation2,,91,7.5
Baldur's Gate,PC,,91,8.9
Bayonetta 2,WiiU,,91,8.9
The Witcher 3: Wild Hunt,XboxOne,2015-05-19,91,9.2
Rock Band 3,PlayStation3,,91,8.1
Klonoa 2: Lunatea's Veil,PlayStation2,,91,8.7
IL-2 Sturmovik,PC,,91,8.7
Mario Tennis,Nintendo64,,91,8.8
FreeSpace 2,PC,,91,8.7
Colony Wars,PlayStation,,91,8.2
Metal Gear Solid V: The Phantom Pain,PC,,91,7.8
Ratchet & Clank: Up Your Arsenal,PlayStation2,,91,9.1
Resident Evil,GameCube,,91,9.2
FIFA Soccer 10,PlayStation3,,91,7.6
Assassin's Creed II,PlayStation3,,91,8.6
Metal Gear Solid 3: Snake Eater,PlayStation2,,91,9.1
Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,Switch,,91,8.6
Twisted Metal: Black,PlayStation2,,91,8.5
Spyro: Year of the Dragon,PlayStation,,91,8.9
Tomb Raider,PlayStation,,91,8.4
Overwatch,XboxOne,2016-05-23,91,5.9
Sekiro: Shadows Die Twice,XboxOne,,91,8.0
Resident Evil 4: Wii Edition,Wii,,91,8.9
Shadow of the Colossus,PlayStation2,,91,9.1
Forza Horizon 3,XboxOne,,91,8.0
Peggle,PlayStation3,,91,7.4
The Legend of Zelda: Ocarina of Time / Master Quest,GameCube,,91,8.9
Borderlands 2,PlayStation3,,91,8.2
Sonic Mania Plus,Switch,,91,8.0
Tom Clancy's Splinter Cell,PC,,91,8.5
Dead Cells,XboxOne,,91,8.0
Kentucky Route Zero - Act III,PC,2014-05-06,91,6.7
NCAA Football 2003,PlayStation2,,91,8.4
Crysis,PC,,91,8.1
Ninja Gaiden,Xbox,,91,8.8
God of War: Chains of Olympus,PSP,,91,8.5
Final Fantasy XIV: Shadowbringers,PlayStation4,,91,8.4
DOA2: Hardcore,PlayStation2,,91,8.0
World of Warcraft: The Burning Crusade,PC,,91,8.1
MLB 10: The Show,PlayStation3,,91,8.2
Shadow of the Colossus,PlayStation4,,91,7.8
Yoshi's Island: Super Mario Advance 3,GameBoyAdvance,,91,8.9
The Witcher 3: Wild Hunt - Blood and Wine,PlayStation4,2016-05-30,91,9.1
Tiger Woods PGA Tour 2005,PC,,91,3.9
ESPN NFL Football,Xbox,,91,7.8
NCAA Football 2003,GameCube,,91,6.6
The Longest Journey,PC,,91,8.7
Tony Hawk's Pro Skater 2,PC,,91,8.5
Star Wars Jedi Knight: Dark Forces II,PC,,91,8.6
Batman: Arkham Asylum,PC,,91,8.7
Halo: Reach,Xbox360,,91,8.2
Galactic Civilizations II: Dark Avatar,PC,,91,7.8
Mass Effect,Xbox360,,91,8.7
The Operative: No One Lives Forever,PC,,91,8.7
Crusader Kings III,PC,,91,8.4
Forza Motorsport 4,Xbox360,,91,8.3
Resident Evil,PlayStation,,91,9.0
Battlefield 2,PC,,91,8.4
God of War Collection,PlayStation3,,91,8.7
Celeste,PlayStation4,,91,7.2
Madden NFL 2005,PlayStation2,,91,8.0
Tony Hawk's Pro Skater 3,GameCube,,91,8.4
Street Fighter IV,PC,,91,7.8
Fallout 3,PC,,91,7.8
Batman: Arkham City,PC,,91,8.7
Fez,PC,2013-05-01,91,6.7
Planescape: Torment,PC,,91,9.2
Gears of War 3,Xbox360,,91,8.0
Killzone 2,PlayStation3,,91,8.1
Neverwinter Nights,PC,,91,8.1
Batman: Arkham Asylum,PlayStation3,,91,8.9
Castlevania: Aria of Sorrow,GameBoyAdvance,2003-05-06,91,8.8
No One Lives Forever 2: A Spy in H.A.R.M.'s Way,PC,,91,8.7
INSIDE,PlayStation4,,91,8.4
